merchant_name,category_id,category_name
Sauda24.kz,87750,Крепления для процессоров
Smart Technology,87750,Крепления для процессоров
_ALGA_,87750,Крепления для процессоров
О'КЕЙ,87750,Крепления для процессоров
EAST BREEZE,94698,Крепления для системных блоков
Fora,94698,Крепления для системных блоков
Fresh breeze,94698,Крепления для системных блоков
Smart Technology,94698,Крепления для системных блоков
_ALGA_,94698,Крепления для системных блоков
О'КЕЙ,94698,Крепления для системных блоков
AVLINE ELECTRONICS,87052,Решетки и фильтры для вентиляторов
Fora,87052,Решетки и фильтры для вентиляторов
Fresh breeze,87052,Решетки и фильтры для вентиляторов
Sauda24.kz,87052,Решетки и фильтры для вентиляторов
Smart Technology,87052,Решетки и фильтры для вентиляторов
_ALGA_,87052,Решетки и фильтры для вентиляторов
О'КЕЙ,87052,Решетки и фильтры для вентиляторов
EAST BREEZE,87099,Системы подсветки
Fora,87099,Системы подсветки
Fresh breeze,87099,Системы подсветки
MegaNetwork.kz,87099,Системы подсветки
Seguro comp,87099,Системы подсветки
Smart Technology,87099,Системы подсветки
SmartLife,87099,Системы подсветки
_ALGA_,87099,Системы подсветки
ИП QPICK,87099,Системы подсветки
О'КЕЙ,87099,Системы подсветки
2People,85666,Устройства расширения
AVLINE ELECTRONICS,85666,Устройства расширения
EAST BREEZE,85666,Устройства расширения
Fora,85666,Устройства расширения
Fresh breeze,85666,Устройства расширения
MSM,85666,Устройства расширения
MSM.kz,85666,Устройства расширения
Magnit-it,85666,Устройства расширения
MegaNetwork.kz,85666,Устройства расширения
Power of 13,85666,Устройства расширения
Pro-integrator,85666,Устройства расширения
SENDE.bar,85666,Устройства расширения
SIN.KZ,85666,Устройства расширения
Sauda24.kz,85666,Устройства расширения
Smart Technology,85666,Устройства расширения
SmartLife,85666,Устройства расширения
Smartshop,85666,Устройства расширения
TANNAT,85666,Устройства расширения
_ALGA_,85666,Устройства расширения
ИП QPICK,85666,Устройства расширения
Казахтелеком Магазин,85666,Устройства расширения
О'КЕЙ,85666,Устройства расширения
СтоВатт,85666,Устройства расширения
EAST BREEZE,94434,Фитинги для системы водяного охлаждения
Fora,94434,Фитинги для системы водяного охлаждения
Fresh breeze,94434,Фитинги для системы водяного охлаждения
Power Plus,94434,Фитинги для системы водяного охлаждения
Smart Technology,94434,Фитинги для системы водяного охлаждения
_ALGA_,94434,Фитинги для системы водяного охлаждения
О'КЕЙ,94434,Фитинги для системы водяного охлаждения
DJI,57552,Пластик для 3D-печати
EAST BREEZE,57552,Пластик для 3D-печати
Fora,57552,Пластик для 3D-печати
